neighbourhood,total_households,two_parent_families,one_parent_families,prop_single_parent,median_income,unemployment_rate,total_education,bachelors_or_higher,education_rate,assault_2019,assault_rate_2019,assault_2020,assault_rate_2020,assault_2021,assault_rate_2021,assault_2022,assault_rate_2022,assault_2023,assault_rate_2023,assault_2024,assault_rate_2024,breakenter_2019,breakenter_rate_2019,breakenter_2020,breakenter_rate_2020,breakenter_2021,breakenter_rate_2021,breakenter_2022,breakenter_rate_2022,breakenter_2023,breakenter_rate_2023,breakenter_2024,breakenter_rate_2024,homicide_2019,homicide_rate_2019,homicide_2020,homicide_rate_2020,homicide_2021,homicide_rate_2021,homicide_2022,homicide_rate_2022,homicide_2023,homicide_rate_2023,homicide_2024,homicide_rate_2024,robbery_2019,robbery_rate_2019,robbery_2020,robbery_rate_2020,robbery_2021,robbery_rate_2021,robbery_2022,robbery_rate_2022,robbery_2023,robbery_rate_2023,robbery_2024,robbery_rate_2024,shooting_2019,shooting_rate_2019,shooting_2020,shooting_rate_2020,shooting_2021,shooting_rate_2021,shooting_2022,shooting_rate_2022,shooting_2023,shooting_rate_2023,shooting_2024,shooting_rate_2024,cluster,opportunity_index
south-eglinton-davisville,22735,4720,775,0.1410373066424022,80000.0,10.6,15810.0,11280.0,0.713472485768501,62,276.304656982422,74,315.269256591797,106,429.549774169922,122,479.239501953125,100,373.468780517578,124,452.505187988281,83,369.891693115234,69,293.96728515625,44,178.303680419922,24,94.2766265869141,43,160.591567993164,52,189.760238647461,1,4.45652675628662,1,4.26039552688599,1,4.05235624313354,,0.0,,0.0,,0.0,5,22.2826328277588,16,68.1663284301758,9,36.4712066650391,15,58.9228897094727,3,11.2040634155273,16,58.387767791748,,0.0,1,4.26039552688599,,0.0,1,3.92819261550903,,0.0,2,7.29847097396851,1,Medium Opportunity
north-toronto,15885,3080,630,0.16981132075471697,70000.0,13.0,11355.0,7505.0,0.6609423161602818,84,573.809692382813,80,510.301727294922,118,703.092407226563,136,765.938293457031,105,550.083801269531,128,642.344543457031,36,245.918441772461,89,567.710632324219,49,291.962097167969,48,270.331146240234,31,162.405700683594,31,155.567825317383,1,6.83106756210327,1,6.37877130508423,,0.0,,0.0,,0.0,,0.0,19,129.790283203125,3,19.1363143920898,12,71.5009231567383,12,67.5827865600586,14,73.3445129394531,18,90.329704284668,1,6.83106756210327,,0.0,1,5.95841026306152,1,5.63189888000488,,0.0,1,5.01831674575806,1,Medium Opportunity
dovercourt-village,12380,2250,380,0.1444866920152091,87000.0,13.8,7940.0,4200.0,0.5289672544080605,113,859.838684082031,91,698.495544433594,115,883.392211914063,103,781.6650390625,104,764.481018066406,120,876.680297851563,83,631.562927246094,47,360.761444091797,19,145.951751708984,33,250.436370849609,46,338.135833740234,45,328.755126953125,2,15.2183837890625,1,7.67577505111694,,0.0,,0.0,,0.0,,0.0,17,129.356262207031,16,122.812400817871,22,168.996780395508,14,106.245727539063,21,154.366363525391,12,87.6680297851563,,0.0,,0.0,2,15.3633432388306,,0.0,1,7.35077905654907,2,14.6113386154175,1,Medium Opportunity
junction-wallace-emerson,23180,4360,825,0.15911282545805208,84000.0,14.0,15255.0,7060.0,0.46279908226810884,186,758.904907226563,171,696.878295898438,182,734.997192382813,138,541.728820800781,230,860.005981445313,195,713.553894042969,103,420.253784179688,110,448.284301757813,76,306.921905517578,56,219.831985473633,82,306.61083984375,77,281.762298583984,1,4.08013391494751,,0.0,,0.0,,0.0,,0.0,,0.0,32,130.56428527832,23,93.7321701049805,11,44.4229049682617,20,78.5114212036133,18,67.304817199707,12,43.9110069274902,2,8.16026782989502,4,16.3012466430664,4,16.1537837982178,3,11.7767133712769,2,7.47831296920776,,0.0,1,Medium Opportunity
yonge-bay-corridor,12645,2095,345,0.1413934426229508,68500.0,13.3,8660.0,6940.0,0.8013856812933026,660,5131.39501953125,377,2841.63720703125,325,2359.3466796875,441,3017.654296875,542,3433.42211914063,556,3355.86669921875,119,925.2060546875,148,1115.5498046875,112,813.067138671875,123,841.65869140625,108,684.150512695313,94,567.358764648438,2,15.5496816635132,,0.0,1,7.25952816009521,1,6.84275341033936,1,6.33472681045532,1,6.03573131561279,63,489.814971923828,55,414.562438964844,50,362.976409912109,55,376.351440429688,60,380.083618164063,65,392.322540283203,4,31.0993633270264,2,15.0749979019165,,0.0,1,6.84275341033936,2,12.6694536209106,1,6.03573131561279,1,Medium Opportunity
bay-cloverhill,16670,2615,375,0.1254180602006689,58400.0,15.0,9475.0,7530.0,0.7947229551451187,166,954.023010253906,106,588.006896972656,146,779.040588378906,122,611.436889648438,141,648.872497558594,122,533.216796875,82,471.264373779297,80,443.778778076172,38,202.76399230957,43,215.506439208984,63,289.921752929688,70,305.944061279297,1,5.74712657928467,,0.0,,0.0,,0.0,,0.0,,0.0,36,206.896545410156,18,99.850227355957,21,112.053787231445,20,100.235549926758,20,92.0386581420898,18,78.6713256835938,,0.0,,0.0,,0.0,1,5.01177787780762,1,4.60193300247192,,0.0,1,Medium Opportunity
bendale-glen-andrew,18685,3345,690,0.17100371747211895,74500.0,15.0,10060.0,4350.0,0.43240556660039764,204,1024.91955566406,134,673.299194335938,129,643.359436035156,166,813.565979003906,242,1142.31762695313,197,919.615356445313,30,150.723480224609,20,100.492416381836,19,94.7583694458008,24,117.623992919922,28,132.168991088867,23,107.366256713867,1,5.02411556243896,1,5.0246205329895,,0.0,2,9.80200004577637,,0.0,2,9.33619689941406,35,175.844055175781,19,95.4677886962891,49,244.376846313477,54,264.653991699219,52,245.456695556641,55,256.745391845703,3,15.0723476409912,7,35.1723442077637,5,24.9364128112793,7,34.306999206543,1,4.72032117843628,3,14.0042943954468,1,Medium Opportunity
downsview,17970,3000,935,0.23761118170266837,82000.0,14.5,10625.0,3585.0,0.33741176470588236,138,782.889892578125,124,682.218322753906,138,731.707336425781,141,714.394287109375,203,964.6455078125,208,952.860900878906,37,209.905258178711,45,247.579223632813,28,148.462356567383,32,162.132034301758,74,351.644165039063,30,137.431854248047,2,11.346230506897,2,11.0035209655762,,0.0,,0.0,,0.0,,0.0,21,119.135414123535,6,33.0105628967285,11,58.3244972229004,26,131.732284545898,28,133.054550170898,19,87.0401763916016,7,39.7118072509766,3,16.5052814483643,,0.0,3,15.199878692627,3,14.2558450698853,1,4.58106184005737,2,Low Opportunity
oakdale-beverley-heights,21420,2860,1250,0.30413625304136255,71500.0,16.9,11710.0,2390.0,0.2040990606319385,295,1379.92333984375,235,1081.25512695313,292,1312.53649902344,309,1344.76452636719,447,1846.64953613281,407,1642.1884765625,80,374.216491699219,44,202.447784423828,63,283.184234619141,50,217.59944152832,88,363.546234130859,58,234.021942138672,1,4.67770624160767,,0.0,,0.0,2,8.70397758483887,1,4.13120698928833,1,4.03486108779907,41,191.785949707031,49,225.453201293945,29,130.35466003418,39,169.727569580078,30,123.936210632324,36,145.255004882813,3,14.0331182479858,5,23.0054302215576,9,40.454891204834,7,30.4639225006104,6,24.7872428894043,8,32.2788887023926,2,Low Opportunity
avondale,13790,2995,455,0.1318840579710145,84000.0,11.4,9565.0,6975.0,0.7292211186617877,40,277.8935546875,41,283.874542236328,49,335.869476318359,36,239.616607666016,49,310.913696289063,51,317.085296630859,13,90.3154067993164,13,90.0090026855469,17,116.526153564453,8,53.2481346130371,19,120.558372497559,21,130.564529418945,,0.0,1,6.92376947402954,,0.0,1,6.65601682662964,,0.0,,0.0,3,20.8420181274414,9,62.3139228820801,6,41.1268768310547,1,6.65601682662964,6,38.0710678100586,12,74.6083068847656,,0.0,1,6.92376947402954,,0.0,,0.0,1,6.34517765045166,,0.0,1,Medium Opportunity
