crime,year,Low Opportunity,High Opportunity,Medium Opportunity,Low Opportunity_pct_2019_2020,Low Opportunity_pct_2020_2021,Low Opportunity_pct_2021_2022,Low Opportunity_pct_2022_2023,Low Opportunity_pct_2023_2024,High Opportunity_pct_2019_2020,High Opportunity_pct_2020_2021,High Opportunity_pct_2021_2022,High Opportunity_pct_2022_2023,High Opportunity_pct_2023_2024,Medium Opportunity_pct_2019_2020,Medium Opportunity_pct_2020_2021,Medium Opportunity_pct_2021_2022,Medium Opportunity_pct_2022_2023,Medium Opportunity_pct_2023_2024
assault,2019,758.3876811924271,446.67521105314563,736.9960746765138,,,,,,,,,,,,,,,
assault,2020,657.1606367879841,359.09185309159136,630.4712560441761,-13.3,,,,,-19.6,,,,,-14.5,,,,
assault,2021,674.8177426466304,414.6138040642989,652.9337753719756,,2.7,,,,,15.5,,,,,3.6,,,
assault,2022,717.8407478901879,452.4417290938527,721.6650647057427,,,6.4,,,,,9.1,,,,,10.5,,
assault,2023,805.5518470878037,482.4474519428453,796.0325402153869,,,,12.2,,,,,6.6,,,,,10.3,
assault,2024,818.7931274869553,500.1473846435548,828.69153213501,,,,,1.6,,,,,3.7,,,,,4.1
breakenter,2019,246.04060426398894,348.550930625514,329.03040663401293,,,,,,,,,,,,,,,
breakenter,2020,182.15655608675374,282.76350262290555,291.45573737886224,-26.0,,,,,-18.9,,,,,-11.4,,,,
breakenter,2021,155.19680723503458,201.5106805500231,224.65830892986722,,-14.8,,,,,-28.7,,,,,-22.9,,,
breakenter,2022,167.1842092827185,228.51869803980782,228.97598838806158,,,7.7,,,,,13.4,,,,,1.9,,
breakenter,2023,214.31629346021967,356.25610833418995,249.66669411129422,,,,28.2,,,,,55.9,,,,,9.0,
breakenter,2024,173.96852157365032,291.2165487189042,240.63154252370202,,,,,-18.8,,,,,-18.3,,,,,-3.6
robbery,2019,126.02068926683118,95.01044268357127,124.28929397794938,,,,,,,,,,,,,,,
robbery,2020,90.2314960849819,66.78611122934441,102.8292218181822,-28.4,,,,,-29.7,,,,,-17.3,,,,
robbery,2021,74.1317490819675,53.49814992201957,81.43655205435225,,-17.8,,,,,-19.9,,,,,-20.8,,,
robbery,2022,91.08698016494068,56.877959803531056,100.06405242946416,,,22.9,,,,,6.3,,,,,22.9,,
robbery,2023,104.67388514618376,62.185277587489125,101.32574266857574,,,,14.9,,,,,9.3,,,,,1.3,
robbery,2024,102.36707680260957,66.89783553073282,102.2271919316716,,,,,-2.2,,,,,7.6,,,,,0.9
shooting,2019,27.951278255946598,5.436328687165918,10.086517420079973,,,,,,,,,,,,,,,
shooting,2020,25.629246907447694,4.064768188878106,7.977024846606783,-8.3,,,,,-25.2,,,,,-20.9,,,,
shooting,2021,23.01072285068569,3.9083851262142786,6.9916832943757425,,-10.2,,,,,-3.8,,,,,-12.4,,,
shooting,2022,18.448085614104773,4.697619312687924,8.67772510316637,,,-19.8,,,,,20.2,,,,,24.1,,
shooting,2023,15.659829620105118,4.432069351798609,8.16564404964447,,,,-15.1,,,,,-5.7,,,,,-5.9,
shooting,2024,25.09657595762566,6.405003271604836,7.75306754642063,,,,,60.3,,,,,44.5,,,,,-5.1
