neighbourhood,assault_rate,assault_count,break-enter_count,break-enter_rate,homicide_count,homicide_rate,robbery_count,robbery_rate,shooting_count,shooting_rate
South Eglinton-Davisville,429.549774169922,106,44,178.303680419922,1,4.05235624313354,9,36.4712066650391,,
North Toronto,703.092407226563,118,49,291.962097167969,,,12,71.5009231567383,1,5.95841026306152
Dovercourt Village,883.392211914063,115,19,145.951751708984,,,22,168.996780395508,2,15.3633432388306
Junction-Wallace Emerson,734.997192382813,182,76,306.921905517578,,,11,44.4229049682617,4,16.1537837982178
Yonge-Bay Corridor,2359.3466796875,325,112,813.067138671875,1,7.25952816009521,50,362.976409912109,,
Bay-Cloverhill,779.040588378906,146,38,202.76399230957,,,21,112.053787231445,,
Bendale-Glen Andrew,643.359436035156,129,19,94.7583694458008,,,49,244.376846313477,5,24.9364128112793
Downsview,731.707336425781,138,28,148.462356567383,,,11,58.3244972229004,,
Oakdale-Beverley Heights,1312.53649902344,292,63,283.184234619141,,,29,130.35466003418,9,40.454891204834
Avondale,335.869476318359,49,17,116.526153564453,,,6,41.1268768310547,,
East Willowdale,333.477416992188,54,26,160.563201904297,,,10,61.7550811767578,1,6.17550802230835
Yonge-Doris,331.203063964844,71,19,88.6318054199219,,,25,116.620796203613,,
Fenside-Parkwoods,399.832641601563,86,20,92.9843292236328,1,4.6492166519165,8,37.193733215332,3,13.9476499557495
Parkwoods-O'Connor Hills,359.612731933594,52,17,117.565696716309,,,16,110.65007019043,1,6.91562938690186
East L'Amoreaux,351.314086914063,79,14,62.2581939697266,,,7,31.1290969848633,2,8.89402770996094
L'Amoreaux West,448.171813964844,101,17,75.4348602294922,,,8,35.4987564086914,3,13.3120336532593
Malvern East,514.308776855469,140,20,73.4726867675781,1,3.67363429069519,22,80.819953918457,4,14.6945371627808
Malvern West,501.405029296875,91,14,77.1392364501953,2,11.0198907852173,20,110.198905944824,6,33.0596733093262
Morningside Heights,336.777648925781,88,25,95.6754684448242,1,3.82701873779297,12,45.9242248535156,3,11.4810562133789
West Rouge,308.386260986328,67,22,101.261161804199,1,4.60277986526489,7,32.2194595336914,6,27.6166801452637
Woburn North,649.44384765625,181,28,100.466453552246,,,12,43.0570487976074,7,25.1166133880615
Golfdale-Cedarbrae-Woburn,640.24072265625,183,27,94.4617462158203,2,6.9971661567688,21,73.4702453613281,13,45.4815788269043
Guildwood,355.134643554688,36,7,69.0539627075195,2,19.7297039031982,4,39.4594078063965,,
Scarborough Village,687.324584960938,120,22,126.009506225586,,,15,85.9155731201172,3,17.1831150054932
Eglinton East,679.444702148438,162,30,125.823089599609,3,12.5823097229004,17,71.2997512817383,8,33.5528259277344
West Hill,1111.18640136719,328,70,237.143432617188,,,43,145.673828125,5,16.9388160705566
Morningside,451.160522460938,83,16,86.970703125,,,5,27.1783447265625,3,16.3070068359375
Highland Creek,288.009704589844,38,5,37.8960151672363,1,7.57920265197754,2,15.1584053039551,,
Centennial Scarborough,265.442291259766,37,5,35.8705787658691,,,6,43.0446929931641,,
Milliken,246.238037109375,63,89,347.860076904297,1,3.90854024887085,16,62.5366439819336,6,23.4512405395508
Agincourt North,213.881607055664,62,18,62.0946617126465,,,7,24.1479225158691,,
Agincourt South-Malvern West,594.167785644531,152,44,171.995941162109,1,3.90899848937988,19,74.2709732055664,5,19.5449924468994
Dorset Park,547.126586914063,141,38,147.452560424805,3,11.6409921646118,17,65.9656219482422,6,23.2819843292236
Ionview,660.777160644531,92,18,129.282485961914,,,4,28.7294406890869,,
Kennedy Park,1037.22802734375,185,35,196.232345581055,2,11.2132768630981,27,151.37922668457,2,11.2132768630981
Cliffcrest,585.039672851563,98,30,179.093780517578,1,5.96979284286499,13,77.607307434082,,
Birchcliffe-Cliffside,591.642028808594,142,42,174.992706298828,,,14,58.3309020996094,1,4.16649293899536
Downtown Yonge East,3034.01782226563,594,161,822.351623535156,,,96,490.346313476563,7,35.7544174194336
Church-Wellesley,1690.64904785156,403,87,364.978820800781,,,41,172.001510620117,2,8.39031791687012
