neighbourhood,total_households,two_parent_families,one_parent_families,median_income,unemployment_rate,total_education,bachelors_or_higher,prop_single_parent,education_rate
west-humber-clairville,33300,4515,1330,92000.0,14.3,18605.0,6150.0,0.2275449101796407,0.3305563020693362
mount-olive-silverstone-jamestown,31345,4050,1630,76500.0,17.7,16530.0,4380.0,0.2869718309859155,0.26497277676951
thistletown-beaumond-heights,9850,1380,420,86000.0,16.6,5295.0,1550.0,0.23333333333333334,0.2927289896128423
rexdale-kipling,10375,1600,565,77000.0,13.9,5725.0,1520.0,0.26096997690531176,0.26550218340611353
elms-old-rexdale,9355,1210,640,82000.0,18.5,5035.0,1085.0,0.34594594594594597,0.21549155908639522
kingsview-village-the-westway,22005,3465,1215,79000.0,18.1,11540.0,3235.0,0.25961538461538464,0.2803292894280763
willowridge-martingrove-richview,22445,4145,1125,92000.0,14.3,11355.0,4615.0,0.21347248576850095,0.40642888595332455
humber-heights-westmount,10005,1855,585,85000.0,12.9,5145.0,1960.0,0.23975409836065573,0.38095238095238093
edenbridge-humber-valley,15190,3180,675,100000.0,12.1,7990.0,3935.0,0.17509727626459143,0.4924906132665832
princess-rosethorn,11170,2540,350,162000.0,11.4,5665.0,3485.0,0.12110726643598616,0.6151809355692851
eringate-centennial-west-deane,18450,3780,800,108000.0,12.8,9665.0,4395.0,0.17467248908296942,0.45473357475426796
markland-wood,10365,2315,425,105000.0,12.2,5180.0,2565.0,0.1551094890510949,0.4951737451737452
etobicoke-west-mall,11865,2130,605,84000.0,14.2,6885.0,2795.0,0.22120658135283364,0.4059549745824256
kingsway-south,8855,2220,230,184000.0,8.3,4280.0,3260.0,0.09387755102040816,0.7616822429906542
stonegate-queensway,25650,5555,915,104000.0,12.0,14300.0,7715.0,0.14142194744976816,0.5395104895104895
new-toronto,11345,2005,575,68500.0,13.2,6700.0,2680.0,0.22286821705426357,0.4
long-branch,11360,2240,550,83000.0,11.5,7130.0,3385.0,0.1971326164874552,0.4747545582047686
alderwood,12595,2525,455,106000.0,11.9,7165.0,2850.0,0.15268456375838926,0.39776692254012563
humber-summit,12185,1720,580,80000.0,17.4,6250.0,1575.0,0.25217391304347825,0.252
humbermede,16955,2250,965,77500.0,16.2,9160.0,2250.0,0.3001555209953344,0.24563318777292575
pelmo-park-humberlea,11290,1955,480,100000.0,13.8,6470.0,1915.0,0.1971252566735113,0.29598145285935085
black-creek,21145,2395,1665,65000.0,19.5,11045.0,1630.0,0.4100985221674877,0.14757808963331825
glenfield-jane-heights,30020,3190,2185,70500.0,19.1,15570.0,2385.0,0.40651162790697676,0.1531791907514451
york-university-heights,28255,3715,1390,76000.0,16.4,15975.0,5395.0,0.2722820763956905,0.3377151799687011
rustic,9390,1225,895,64000.0,18.6,4755.0,860.0,0.4221698113207547,0.1808622502628812
maple-leaf,9845,1685,480,82000.0,14.8,5435.0,1555.0,0.22170900692840648,0.2861085556577737
brookhaven-amesbury,17495,2555,1240,73000.0,17.2,9625.0,1970.0,0.32674571805006586,0.20467532467532468
yorkdale-glen-park,16625,2925,830,79000.0,16.0,9425.0,3735.0,0.2210386151797603,0.3962864721485411
